case_id,category_correct,facts_correct,numbers_correct,no_hallucination,neutral_language,source_correct,limitations_correct,notes
financial_results_01,,,,,,,,
dividend_01,,,,,,,,
order_contract_01,,,,,,,,
acquisition_01,,,,,,,,
management_change_01,,,,,,,,
fundraising_01,,,,,,,,
corporate_action_01,,,,,,,,
other_01,,,,,,,,
